Implementation,Complie,Error
human_eval_085_3.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_139_2.mlw,[],
human_eval_097_10.mlw,"['This expression has type int, it cannot be applied']","This expression has type int, it cannot be applied
"
human_eval_139_3.mlw,[],
human_eval_085_2.mlw,"['=======================TestCases=====================', '', '    For the given implementation, some of testcases failed. Here are the list of failed testcases:', '    for input Cons ((Cons 100 (Cons 101 (Cons 102 (Cons 103 (Cons 104 (Nil)))))); the output we obtained with current implementation is 204; but the expected output is 0)', 'for input Cons ((Cons 7 (Cons (-2) (Cons 5 (Cons (-4) (Cons 8 (Cons 9 (Nil))))))); the output we obtained with current implementation is 3; but the expected output is (-6))', 'for input Cons ((Cons 10 (Cons 11 (Cons 12 (Cons 13 (Cons 14 (Cons 15 (Nil))))))); the output we obtained with current implementation is 39; but the expected output is 0)', 'for input Cons ((Cons (-2) (Cons 3 (Cons (-4) (Cons 6 (Nil))))); the output we obtained with current implementation is 9; but the expected output is 6)', 'for input Cons ((Cons 1 (Cons 3 (Cons 5 (Cons 7 (Cons 9 (Nil)))))); the output we obtained with current implementation is 10; but the expected output is 0)', 'for input Cons ((Cons 4 (Cons 2 (Cons 6 (Cons 7 (Nil))))); the output we obtained with current implementation is 9; but the expected output is 2)', ' ', '    Please revise the current implementation to fix the problem.']","=======================TestCases=====================

    For the given implementation, some of testcases failed. Here are the list of failed testcases:
    for input Cons ((Cons 100 (Cons 101 (Cons 102 (Cons 103 (Cons 104 (Nil)))))); the output we obtained with current implementation is 204; but the expected output is 0)
for input Cons ((Cons 7 (Cons (-2) (Cons 5 (Cons (-4) (Cons 8 (Cons 9 (Nil))))))); the output we obtained with current implementation is 3; but the expected output is (-6))
for input Cons ((Cons 10 (Cons 11 (Cons 12 (Cons 13 (Cons 14 (Cons 15 (Nil))))))); the output we obtained with current implementation is 39; but the expected output is 0)
for input Cons ((Cons (-2) (Cons 3 (Cons (-4) (Cons 6 (Nil))))); the output we obtained with current implementation is 9; but the expected output is 6)
for input Cons ((Cons 1 (Cons 3 (Cons 5 (Cons 7 (Cons 9 (Nil)))))); the output we obtained with current implementation is 10; but the expected output is 0)
for input Cons ((Cons 4 (Cons 2 (Cons 6 (Cons 7 (Nil))))); the output we obtained with current implementation is 9; but the expected output is 2)
 
    Please revise the current implementation to fix the problem.
"
human_eval_152_9.mlw,['syntax error'],"syntax error
"
human_eval_052_8.mlw,"[""unbound function or predicate symbol 'nth_my'""]","unbound function or predicate symbol 'nth_my'
"
human_eval_085_6.mlw,['syntax error'],"syntax error
"
human_eval_139_7.mlw,[],
human_eval_139_6.mlw,[],
human_eval_085_7.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_052_9.mlw,['Logical symbol fold_right is used in a non-ghost context'],"Logical symbol fold_right is used in a non-ghost context
"
human_eval_031_8.mlw,['Module Division not found in library int'],"Module Division not found in library int
"
human_eval_085_5.mlw,['syntax error'],"syntax error
"
human_eval_009_10.mlw,"[""unbound function or predicate symbol 'length'""]","unbound function or predicate symbol 'length'
"
human_eval_139_4.mlw,['syntax error'],"syntax error
"
human_eval_005_10.mlw,[],
human_eval_139_5.mlw,['syntax error'],"syntax error
"
human_eval_085_4.mlw,['syntax error'],"syntax error
"
human_eval_042_10.mlw,"[""unbound function or predicate symbol 'incr_list_helper'""]","unbound function or predicate symbol 'incr_list_helper'
"
human_eval_031_9.mlw,['Module Division not found in library int'],"Module Division not found in library int
"
